RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
3101,Los Angeles,California,1,460300,447700,431300,420300,405400,389400,373200,362400,352700,339500,321400,308300,300200,297100,294500,299600,307300,314800,322700,327700,332500,336300,337600,336200,332800,331900,337800,3.36E+05,3.37E+05,3.31E+05,337400,336600,339900,337800,332300,329200,323200,326900,326300,323300,3.21E+05,317400,318300,313300,3.14E+05,312800,311500,308900,308100,313400,317200,321200,327200,332600,3.43E+05,350500,361300,369900,369800,368900,371800,388400,404100,416300,421600,426400,428700,433700,437100,4.39E+05,434700,4.36E+05,4.38E+05,445200,448800,450200,454100,455900,457300,457300,457400,458800,464900,473400,479200,479200,478600,481900,483600,487600,491800,494400,495400,499100,501600,503300,503900,510300,515100,5.17E+05,517500,518100,521200,525300,533200,537700,542100,541400,543500,544400,551200,555300,5.62E+05,564100,5.72E+05,575500,584500,586500,590900,593500
139,Cook,Illinois,2,,,,,,,,,,,,,,,,190600,193300,199300,1.99E+05,2.02E+05,203700,206100,205100,199100,203700,2.01E+05,201500,195600,191100,185800,173600,175200,178900,188800,1.87E+05,184600,182700,175200,166400,159700,164200,1.70E+05,169100,168200,161900,164500,1.60E+05,157700,159600,157300,156800,153400,1.57E+05,164200,164600,163400,162500,160100,163600,159900,164700,159600,167500,1.74E+05,190800,2.00E+05,200300,203500,201200,204700,200800,205900,209500,207600,205200,204700,204900,206300,207400,213900,215100,214300,215700,2.16E+05,226300,225400,227900,220600,222500,221600,220800,220900,219600,220100,219900,223100,236800,238800,237800,225600,226600,229800,223800,224300,226100,237400,241600,245700,259400,258100,252400,2.36E+05,232600,233100,228100,2.30E+05,231300,239800,243200,248500
1090,Harris,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180300,1.82E+05,182400,1.83E+05,182900,183600,184800,186200,187700,1.86E+05,186800,186900,189300,1.90E+05,190900,192400,195900,196300,195900,193200,193800,196500,201400,208300,209200,2.07E+05,201200,202600
2402,Maricopa,Arizona,4,229500,223500,217700,212400,204400,196600,186900,178500,168600,158900,147700,137200,129400,123500,120500,121800,124700,128200,130300,132100,135900,136800,136500,135600,135200,136900,135400,134300,131200,128700,126600,125700,124700,121600,119500,1.19E+05,118600,117600,1.15E+05,115700,115600,115800,116900,118500,124100,126300,128900,129500,133400,138900,145200,1.51E+05,153700,157400,156600,160900,1.63E+05,167900,168400,169200,171300,175800,180300,183800,187100,188400,190100,191900,1.93E+05,193600,192300,192300,1.93E+05,193900,194100,192600,193100,195200,197800,198500,197900,199200,200700,204200,205800,207400,2.09E+05,2.11E+05,212500,212300,213200,215600,217400,221200,222100,223900,223100,224200,225600,226800,227400,228900,230400,231800,233400,234900,236100,237100,239600,243200,244700,244400,245700,2.48E+05,250600,253200,2.56E+05,2.59E+05,260100,261700
2841,San Diego,California,5,4.04E+05,395500,3.80E+05,368800,352600,339900,330100,319400,3.08E+05,298400,290700,2.89E+05,283100,282900,281700,289200,296900,306200,314200,320500,324300,328300,324800,328500,329200,3.37E+05,335700,332700,330200,328300,334200,335800,338400,336100,327800,322900,318800,321700,3.21E+05,318200,316500,315400,313600,3.14E+05,314200,316700,316800,317700,320300,324500,329400,3.31E+05,334400,338100,346400,352700,360900,368600,3.71E+05,374300,375900,388700,398100,406400,4.09E+05,409500,414300,414100,417300,4.18E+05,418700,419400,421700,426800,429500,4.30E+05,432400,435200,437900,439700,438600,437500,443400,4.50E+05,453700,450200,4.50E+05,454800,457700,459300,457200,459400,464900,469600,473100,472500,473400,476400,479200,480600,477600,481700,486200,494800,4.96E+05,499500,5.01E+05,506800,5.09E+05,513400,515400,521600,522700,525200,528200,529800,537700,541600,544600,545300
1286,Orange,California,6,5.14E+05,5.05E+05,491300,473300,459100,445300,4.35E+05,423300,408400,398800,385500,383800,381300,380400,386100,395200,410900,421800,429800,436300,439800,442800,445700,444700,444400,439100,438700,435100,440600,439500,443700,442300,442300,432900,427700,4.24E+05,431600,429400,4.26E+05,418200,418400,417900,419200,412900,409500,4.04E+05,406600,404400,405400,407100,416500,425700,4.36E+05,442100,448900,4.53E+05,459600,467100,469200,478100,490100,508300,519700,523400,5.27E+05,529700,531400,529400,530400,536600,542800,547800,5.49E+05,549600,553700,553300,554800,554300,560200,571200,574400,572700,565500,570300,575900,5.82E+05,5.81E+05,5.87E+05,592700,595900,596300,594100,598900,601800,609400,607400,608200,608800,615200,617800,617900,623500,625500,635400,637200,640600,638900,6.40E+05,647200,6.50E+05,657500,659500,666500,661100,665800,666800,678900,680200,686600,694100
581,Kings,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434800,438600,460300,463200,4.64E+05,450600,4.62E+05,470200,465600,452100,454100,455900,4.54E+05,428800,435400,436500,436700,439500,452200,481400,472900,466300,465700,485600,488700,472600,471400,466100,462200,443400,450900,462100,471500,471100,474400,475700,479900,485200,490100,476100,478900,476600,511800,520100,523900,511300,5.02E+05,517200,517700,523900,5.21E+05,528200,545500,555700,557300,552600,555500,571900,579700,581400,582300,588900,614100,614200,609200,594600,593400,592100,584600,576200,585800,581300,608800,597600,620100,608400,6.33E+05,626800,639700,644100,651400,644300,629500,623200,613600,607600,620700
2964,Miami-Dade,Florida,8,293900,286800,275400,258200,247500,244200,238300,228400,214700,206400,192700,181800,173200,166400,159400,151800,151900,154700,1.57E+05,156700,158900,161100,169800,172900,179600,175700,174300,165500,156800,149600,1.42E+05,1.45E+05,146600,145700,133200,127500,127400,136200,143400,149600,162300,1.61E+05,159200,152600,152700,158900,164200,168300,169200,170600,1.72E+05,174200,172900,174200,1.73E+05,171700,172500,179300,184400,189400,189100,193200,197700,2.04E+05,205400,210300,2.09E+05,2.06E+05,206100,203800,208700,197200,196200,197900,207200,210200,212900,213100,213700,211800,210500,214600,216600,220800,223400,2.24E+05,225900,226500,227400,227900,2.30E+05,233200,232300,2.31E+05,235400,242100,246600,243900,240700,238700,241800,248400,2.54E+05,262500,270700,278700,278800,274300,270700,269600,264100,265300,263900,273300,,,,,,
978,Dallas,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188300,1.86E+05,1.86E+05,185600,1.85E+05,187500,189500,191500,192300,191400,190300,192100,1.95E+05,1.98E+05,196800,1.96E+05,198200,201700,203400,202200,203700,206200,207400,208200,209800,212300,210900,215200,217300,223600,221800,227100,224700,
2832,Riverside,California,10,317600,300300,282400,270800,258700,246400,234900,226600,217900,207700,199400,192700,184900,175800,169100,167700,168700,170500,172800,175600,180500,184800,189800,193100,192900,190600,190800,192600,193500,191200,191200,1.92E+05,190800,190100,190100,193600,192500,189100,185500,184700,184100,182600,1.83E+05,183600,185400,184300,185600,186900,188400,191800,192300,194800,196100,199100,203400,209200,215400,221400,226300,230800,234700,237700,241600,247100,251700,254200,257700,260400,2.67E+05,269900,276600,2.81E+05,282600,280700,280400,281800,283400,283700,284200,285800,2.87E+05,289100,290300,296500,296800,299800,295500,297500,298100,3.00E+05,301600,302100,303100,304600,308200,311100,314100,314400,315200,316200,3.17E+05,319500,322400,326200,328400,329600,330900,335800,338800,342900,340800,342600,344600,348900,351100,352200,353300,3.53E+05,359400,367500
